date,value
19500101,0,
19500102,0,
19500103,0.1,
19500104,0,
19500105,0,
19500106,0,
19500107,0,
19500108,4,
19500109,21.5,
19500110,1.8,
19500111,0,
19500112,0,
19500113,0,
19500114,0,
19500115,0,
19500116,0.2,
19500117,0.1,
19500118,0,
19500119,0,
19500120,0,
19500121,0,
19500122,0,
19500123,12.5,
19500124,17.8,
19500125,29.6,
19500126,5.6,
19500127,0.7,
19500128,0.1,
19500129,0.4,
19500130,0.1,
19500131,10.1,
19500201,0.2,
19500202,4.3,
19500203,10.8,
19500204,24.9,
19500205,1.2,
19500206,2.6,
19500207,0.1,
19500208,4.1,
19500209,2.1,
19500210,0.2,
19500211,0.3,
19500212,0.1,
19500213,0.4,
19500214,0.2,
19500215,0,
19500216,0,
19500217,0,
19500218,0,
19500219,0,
19500220,0.1,
19500221,0.3,
19500222,0,
19500223,2.8,
19500224,3.7,
19500225,16.4,
19500226,0.7,
19500227,0,
19500228,0,
19500301,0,
19500302,0,
19500303,0,
19500304,0,
19500305,0,
19500306,0,
19500307,0,
19500308,0,
19500309,0,
19500310,0,
19500311,0,
19500312,0,
19500313,0,
19500314,0,
19500315,5.8,
19500316,21.9,
19500317,1.2,
19500318,6.3,
19500319,18.4,
19500320,0,
19500321,1.9,
19500322,0,
19500323,0,
19500324,0,
19500325,0,
19500326,0.1,
19500327,0.3,
19500328,0.4,
19500329,2,
19500330,1.1,
19500331,0.2,
19500401,0,
19500402,0.7,
19500403,0.7,
19500404,0,
19500405,0,
19500406,0,
19500407,0,
19500408,0,
19500409,0,
19500410,0,
19500411,0,
19500412,2,
19500413,0.5,
19500414,1.3,
19500415,1.8,
19500416,0.2,
19500417,0.2,
19500418,6.3,
19500419,1.1,
19500420,0.3,
19500421,8.3,
19500422,7,
19500423,0.2,
19500424,0.7,
19500425,0,
19500426,2.1,
19500427,0.1,
19500428,0,
19500429,0,
19500430,0,
19500501,0,
19500502,0.1,
19500503,0.1,
19500504,0,
19500505,0,
19500506,0,
19500507,0,
19500508,0.3,
19500509,0.8,
19500510,1.5,
19500511,0,
19500512,0.6,
19500513,0.2,
19500514,0.7,
19500515,0.1,
19500516,2.4,
19500517,19,
19500518,14.7,
19500519,0,
19500520,0.7,
19500521,1.6,
19500522,3.6,
19500523,0.8,
19500524,0.2,
19500525,0.4,
19500526,0.7,
19500527,0.4,
19500528,0,
19500529,0,
19500530,1,
19500531,3.2,
19500601,0.8,
19500602,0.1,
19500603,0.2,
19500604,0,
19500605,0,
19500606,0,
19500607,0,
19500608,0,
19500609,0,
19500610,0,
19500611,0,
19500612,0,
19500613,3.3,
19500614,0.2,
19500615,0,
19500616,2.3,
19500617,1.5,
19500618,0,
19500619,0,
19500620,0.2,
19500621,18.6,
19500622,0,
19500623,0,
19500624,0,
19500625,0,
19500626,0,
19500627,0,
19500628,0,
19500629,0,
19500630,0,
19500701,0,
19500702,0,
19500703,0,
19500704,0,
19500705,2.3,
19500706,1.4,
19500707,0,
19500708,0,
19500709,0,
19500710,0,
19500711,0,
19500712,0,
19500713,0.1,
19500714,0.7,
19500715,0,
19500716,0,
19500717,0.3,
19500718,0,
19500719,0,
19500720,0,
19500721,0,
19500722,0.2,
19500723,0,
19500724,0,
19500725,0,
19500726,0.1,
19500727,0,
19500728,0,
19500729,0,
19500730,0,
19500731,0,
19500801,0.3,
19500802,0.6,
19500803,0,
19500804,0,
19500805,0,
19500806,0.1,
19500807,0.1,
19500808,0,
19500809,0,
19500810,3.2,
19500811,1.3,
19500812,0,
